name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,drs_uri,sample_id,study_name,file_type
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/fa288f44-d729-57d1-8036-2d0377600c42,9142273,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/43d2052b-7fbe-5326-a082-0a0c4c6745f1,88932357,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/74a6c6b1-2006-53ad-bda4-884412c0d41e,13041713,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/0bd7f088-5fa7-53d4-8dd4-a71971a945c1,101318662,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/dfbc75bf-0a95-5580-9c4c-a3ac68e06908,48431104,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/94a8af0d-95d2-595f-99ea-3f8e5a675f74,28835975,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/e5268b3e-c47c-5233-a144-f0ad7c8608d7,82083853,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/00abac1e-5c74-5b04-874e-62a344dd1bd6,9142310,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/30de76b0-b474-524f-b283-537e6bb6f5d2,29851670,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/687ae540-1ffe-5f28-8b49-c3a60b963a3e,6356997,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/a0696935-53ac-5caa-9b17-c3f477a70a86,9142292,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/faf5c7b9-dd02-552d-a37c-da7ca7b26397,82083851,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/2b64a84f-2956-50a0-acb4-b78f202f9de8,11337764,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/94d21640-157b-5503-8870-2e0b6c840064,11337784,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/30c0bba2-ade2-5d88-bc60-93a34bb5442f,51445770,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/1a93a91a-3013-5f92-87e8-82a5247a38da,86507521,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/fa53e767-10c1-52cb-a2c2-a891623a5284,9142304,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/7ae063a7-a197-59dc-9e93-69c980e334ef,10780712,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/fac73391-3f72-5464-84cd-9d1302ebc1e3,54820872,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/62a836ac-9b90-5568-ab81-0388d3fc11d9,9142289,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/a6b6d3f6-43dc-51b7-aab5-172f4f12f8ce,11337762,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/e7f7870a-4e8a-570d-befc-9d1e41b6976c,36601859,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/c1d06754-0689-51a2-8a35-870afa9f106f,11337776,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/25dd0581-ed39-56df-bd3b-86fe3501a737,11337771,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/8131a2f0-1044-5f9a-97ea-3054f0547aa9,53346305,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/5019c9f6-4d70-504b-93ed-dd75e9e3a2d0,53772288,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/1a9c2c21-3fb9-5a80-926a-1b71e7927d7f,62652418,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/eda7378b-67dd-5d91-8faf-7d7cccdc616b,104693786,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/8685559f-6839-5b17-96bd-266672df11e7,46006288,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/2a398ec9-ad87-55cb-882e-da3c2f55d17e,115900524,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/0b23abd7-7597-5875-8927-cb14d832b16f,29851672,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/1974a5f0-bec6-54bc-9574-48b0cdc944fc,28835860,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/8666755d-c07f-5ceb-87e8-3b68dd8606b2,11337767,caNanoLab Data,CSV
